Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Prestação de serviços de seguros;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Município de Terras de Bouro (506907619);"LUSITANIA -COMPANHIA DE SEGUROS, SA (501689168)";"26.678,40 €";30-05-2019;08-05-2019;730 dias;"Portugal, Braga, Terras de Bouro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de serviços de seguros;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Município de Terras de Bouro (506907619);SEGURADORAS UNIDAS SA (500940231);"129.888,06 €";30-05-2019;08-05-2019;730 dias;"Portugal, Braga, Terras de Bouro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Construção da nova Central Colheitas no HSC;Concurso público;Empreitadas de obras públicas;"45200000-9, Obras de construção total ou parcial e de engenharia civil";"Centro Hospitalar de Lisboa Ocidental, EPE (CHLO) (507618319)";"SOCODEFIL - SOC. CONSTRUÇÕES MANUEL DELGADO & FILHOS, LDA (500742219)";"249.812,80 €";30-05-2019;03-09-2018;90 dias;"Portugal, Lisboa, Oeiras";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP nº 1000219 - Fornecimento de Gases Medicinais ao Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE, Para o Período de 36 Meses";Concurso público;Aquisição de bens móveis;"24111500-0, Gases médicos";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Nippon Gases (501738916);"1.600.237,26 €";30-05-2019;30-05-2019;13140 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Requalificação da Avenida D. Dinis em Odivelas e Remodelação da Rede de Abastecimento de Água a Odivelas - Fase 1B (Agrupamento Município de Odivelas com SIMAR Loures e Odivelas);Concurso público;Empreitadas de obras públicas;"45233251-3, Renovação de pavimentos";Município de Odivelas (504293125);"LUIS FRAZÃO - CONSTRUÇÃO CIVIL E OBRAS PÚBLICAS, S.A. (501748407)";"1.249.000,00 €";30-05-2019;17-04-2019;270 dias;"Portugal, Lisboa, Odivelas";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
CP 22-2019 - Aquisição de reagentes para os Sequenciadores de Nova Geração ;Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";I.L.C. - INSTRUMENTOS DE LABORATORIO E CIENTIFICOS LDA.  (500948208);"153.588,00 €";30-05-2019;23-05-2019;260 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Equipamento Informático;Concurso público;Aquisição de bens móveis;"30230000-0, Equipamento informático";"OPORTO BOEIRA GARDEN HOTEL, LDA (513951750)";"Meo Serviços Comunicações e Multimédia, SA (504615947)";"127.836,43 €";30-05-2019;30-05-2019;30 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público para Aquisição de Leitores Ópticos para várias Entidades do Sistema Nacional de Saúde;Concurso público;Aquisição de bens móveis;"30200000-1, Equipamento e material informático";"Unidade Local de Saúde do N. Alentejano,EPE(ULSNA) (508094461)";Exitus (509117660);"459,96 €";30-05-2019;26-04-2019;15 dias;"Portugal, Portalegre, Portalegre<BR/>Portugal";"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
PE_19038_CNS - CONCURSO PÚBLICO NACIONAL PARA AQUISIÇÃO DE SERVIÇOS DE SEGURO DE SÁUDE PARA OS TRABALHADORES DA PARQUE ESCOLAR;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";"Parque Escolar, E. P. E. (508069645)";"EUROPAMUT, MEDIAÇÃO DE SEGUROS, S.A. (508840210)";"41.174,57 €";30-05-2019;29-05-2019;366 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
REQUALIFICAÇÃO DA AVª GENERAL HUMBERTO DELGADO - S. COSME / FÂNZERES;Concurso público;Empreitadas de obras públicas;"45233141-9, Manutenção de estradas";Município de Gondomar (506848957);"M. dos Santos & Cª, SA (500173532)";"316.148,00 €";30-05-2019;23-04-2019;150 dias;"Portugal<BR/>Portugal, Porto, Gondomar";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concessão do direito de exploração do Bar Esplanada do Centro Cívico de Palmeira;Concurso público;Concessão de serviços públicos;"55330000-2, Serviços de cafetaria";Freguesia de Palmeira (507330536);Luis Diogo Morais (212625934);"0,00 €";30-05-2019;01-05-2019;1095 dias;"Portugal, Braga, Braga";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CONCURSO PÚBLICO n.º 38/2019/DICP -  Aquisição de material didático para Jardins de Infância e Escolas do 1.º Ciclo do Ensino Básico;Concurso público;Aquisição de bens móveis;"39160000-1, Mobiliário escolar";Município de Leiria (505181266);"Areal Editores, S.A. (501523375)";"15.668,12 €";30-05-2019;30-05-2019;120 dias;"Portugal, Leiria, Leiria";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público com publicação no Jornal Oficial da União Europeia para aquisição centralizada de medicamentos para as Instituições do Serviço Nacional de Saúde;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Centro Hospitalar de Lisboa Ocidental, EPE (CHLO) (507618319)";"TEVA PHARMA PRODUTOS FARMACÊUTICOS, LDA (507045491)";"34.839,00 €";30-05-2019;07-03-2019;365 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
CONCURSO PÚBLICO n.º 38/2019/DICP -  Aquisição de material didático para Jardins de Infância e Escolas do 1.º Ciclo do Ensino Básico;Concurso público;Aquisição de bens móveis;"39160000-1, Mobiliário escolar";Município de Leiria (505181266);"Areal Editores, S.A. (501523375)";"17.541,10 €";30-05-2019;30-05-2019;30 dias;"Portugal, Leiria, Leiria";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CONCURSO PÚBLICO n.º 38/2019/DICP -  Aquisição de material didático para Jardins de Infância e Escolas do 1.º Ciclo do Ensino Básico;Concurso público;Aquisição de bens móveis;"39160000-1, Mobiliário escolar";Município de Leiria (505181266);"Areal Editores, S.A. (501523375)";"28.170,74 €";30-05-2019;30-05-2019;30 dias;"Portugal, Leiria, Leiria";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PROCESSADOR DE TECIDOS ANATOMIA PATOLOGICA;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";"Leica Microsistemas - Instr. Precisão, S.U.Lda. (500301921)";"29.438,22 €";30-05-2019;18-10-2018;39 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";21-11-2018;"29.438,22 €";;;;Não aplicável.;Não aplicável.;false
Ampliação e Remodelação do espaço ERPI da Santa Casa da Misericórdia de Arronches;Concurso público;Empreitadas de obras públicas;"45215212-6, Construção de lar para idosos";Santa Casa da Misericórdia de Arronches (502091231);"Damião & Belo, Lda. (500340030)";"594.080,49 €";30-05-2019;28-05-2019;365 dias;"Portugal, Portalegre, Arronches";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços para elaboração do plano estratégico;Concurso público;Aquisição de serviços;"71356000-8, Serviços técnicos";Terras do Infante - Associação de Municípios (504821369);"GeoXXI, Ldª (508947642)";"14.900,00 €";30-05-2019;29-05-2019;270 dias;"Portugal, Faro, Lagos";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de serviços de Segurança e Vigilância;Concurso público;Aquisição de serviços;"79714000-2, Serviços de vigilância";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"Ronsegur - Rondas de Segurança, Lda (507011724)";"1.443.600,00 €";30-05-2019;01-04-2017;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Prestação de serviços, para dinamizar atividades no âmbito das campanhas e ações de comunicação e sensibilização nas áreas temáticas dos resíduos e das águas da ARM, S.A., a realizar por duas pessoas, dirigidas a toda a população da Região Autónoma da Madeira, designadamente: 1. Atividades no âmbito das campanhas e ações de comunicação e sensibilização da área temática dos resíduos: 1.1. Ações de sensibilização e educação ambiental em escolas e outras entidades; 1.2. Dinamização de atividades lúdico-pedagógicas, nomeadamente ações de rua, dinamização de concursos, organização de eventos; 1.3. Apoio à criação de conteúdos e grafismos, bem como acompanhamento e montagem das referidas campanhas. 2. Atividades no âmbito das campanhas e ações de comunicação e sensibilização da área temática das águas: 2.1. Ações de sensibilização e educação ambiental em escolas e outras entidades; 2.2. Dinamização de atividades lúdico-pedagógicas, nomeadamente ações de rua, dinamização de concursos, organização de eventos; 2.3. Apoio à criação de conteúdos e grafismos, bem como acompanhamento e montagem das referidas campanhas.";Concurso público;Aquisição de serviços;"79341400-0, Serviços de campanhas publicitárias";"ARM - Águas e Resíduos da Madeira, S.A. (509574513)";ACT - Agile Gestão e Estratégia Lda  (515162191);"48.345,00 €";30-05-2019;17-05-2019;450 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"ASC Artigos Sanitários do Centro, Lda (504189255)";"3.764,40 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"Mendes & Irmãos, S.A (500384436)";"7.867,35 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"Humberto Poças, SA (501075666)";"2.785,75 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"Mendes & Irmãos, S.A (500384436)";"10.113,08 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"Mendes & Irmãos, S.A (500384436)";"6.300,00 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"MÁRIO GONÇALVES, LDA (500183872)";"23.426,55 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"MÁRIO GONÇALVES, LDA (500183872)";"24.545,60 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Materiais para rede de água;Concurso público;Aquisição de bens móveis;"44164310-3, Tubos e acessórios";Serviços Municipalizados de Saneamento Básico de Viana do Castelo (680012907);"Mendes & Irmãos, S.A (500384436)";"12.632,45 €";30-05-2019;29-05-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviço de impressão gráfica de revista mensal;Concurso público;Aquisição de serviços;"79810000-5, Serviços de impressão";Ordem dos Contabilistas Certificados (503692310);"LIDERGRAF - ARTES GRÁFICAS, Lda (503179396)";"4,21 €";29-05-2019;08-06-2018;730 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0365/2018_CLT - Aquisição de Serviços para Colocação do Logótipo em Vinil Autocolante em Infraestruturas da Águas do Norte  - Renovação da Imagem Institucional em Infraestruturas AdNorte;Concurso público;Aquisição de serviços;"79810000-5, Serviços de impressão";"Águas do Norte, S. A. (513606084)";SOPELICULAS UNIPESSOAL LDA (508861896);"8.600,00 €";29-05-2019;29-05-2019;90 dias;"Portugal, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Equipamento Informático;Concurso público;Aquisição de bens móveis;"30230000-0, Equipamento informático";"OPORTO BOEIRA GARDEN HOTEL, LDA (513951750)";"PGISI, Lda (509523390)";"18.670,00 €";29-05-2019;29-05-2019;30 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aluguer Operacional de 8 veículos automóveis;Concurso público;Locação de bens móveis<br/>Aquisição de serviços;"34110000-1, Automóveis de passageiros";Autoridade Nacional de Aviação Civil (504288806);Locarent Companhia Portuguesa de aluguer de viaturas  (502443880);"68.023,20 €";29-05-2019;20-05-2019;1460 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aluguer Operacional de 8 veículos automóveis;Concurso público;Locação de bens móveis<br/>Aquisição de serviços;"34110000-1, Automóveis de passageiros";Autoridade Nacional de Aviação Civil (504288806);"Finlog Aluguer e Comércio de Automóveis , S.A. (502584866)";"109.498,56 €";29-05-2019;20-05-2019;1460 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de ""Criação de ""Zona 30"" - Centro Histórico de Odivelas"" e Remodelação da Rede de Abastecimento de Água a Odivelas - Fase 1ª (Agrupamento Município de Odivelas e SIMAR Loures e Odivelas)";Concurso público;Empreitadas de obras públicas;"45233251-3, Renovação de pavimentos";Município de Odivelas (504293125);"CONSTRADAS - Estradas e Construção Civil, S.A. (501325174)";"1.578.803,31 €";29-05-2019;24-05-2019;270 dias;"Portugal, Lisboa, Odivelas";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
